module,skill,display-name,menu-code,description,action,args,phase,after,before,required,output-location,outputs
Lens,lens-setup,Configure Lens,AX,"Install or update Lens module config and help entries.",configure,"{-H: headless mode}|{inline config values}",anytime,,lens-preflight:check,false,{project-root}/_bmad,config and help entries
Lens,lens-preflight,Run Lens Preflight,PF,"Check Lens config, paths, write scope, and optional Lens context.",check,"{-H: headless mode}|{project root}|{--lens-enabled}",0-preflight,lens-setup:configure,lens-work-intake:start,true,reporting_output_path,preflight readiness JSON
Lens,lens-work-intake,Start Work,SW,"Create a durable feature archive and hand off to the local NextLens lifecycle.",start,"{-H: headless mode}|{feature idea or related feature scope}|{--related: feature id}",0-intake,lens-preflight:check,lens-next:route,false,work_intake_path,work unit archive and lifecycle handoff
Lens,lens-next,Route Next Lifecycle Step,NX,"Inspect local feature state and route to the next clean-room lifecycle command.",route,"{-H: headless mode}|{feature id}|{feature path}",1-lifecycle,lens-work-intake:start,lens-preplan:run,false,work_intake_path,next command recommendation
Lens,lens-preplan,Run PrePlan,PP,"Create brainstorm, research, product brief, and PrePlan review artifacts.",run,"{-H: headless mode}|{feature id}",1-lifecycle,lens-next:route,lens-businessplan:run,false,work_intake_path,preplan artifact packet
Lens,lens-businessplan,Run BusinessPlan,BP,"Create PRD, UX design, and BusinessPlan review artifacts.",run,"{-H: headless mode}|{feature id}",1-lifecycle,lens-preplan:run,lens-techplan:run,false,work_intake_path,business plan artifact packet
Lens,lens-techplan,Run TechPlan,TP,"Create architecture and TechPlan review artifacts.",run,"{-H: headless mode}|{feature id}",1-lifecycle,lens-businessplan:run,lens-finalizeplan:run,false,work_intake_path,technical plan artifact packet
Lens,lens-expressplan,Run ExpressPlan,EP,"Create compact business, technical, sprint, and ExpressPlan review artifacts.",run,"{-H: headless mode}|{feature id}",1-lifecycle,lens-next:route,lens-finalizeplan:run,false,work_intake_path,express planning packet
Lens,lens-finalizeplan,Run FinalizePlan,FP,"Finalize plans into epics, stories, sprint status, and implementation readiness.",run,"{-H: headless mode}|{feature id}",1-lifecycle,lens-techplan:run,lens-dev:run,false,work_intake_path,dev-ready feature bundle
Lens,lens-dev,Run Dev,DV,"Execute finalized stories against configured target repositories and record evidence.",run,"{-H: headless mode}|{feature id}|{story id}",1-lifecycle,lens-finalizeplan:run,lens-doctor:doctor,false,work_intake_path,dev session and validation evidence
Lens,lens-doctor,Run Lens Doctor,LD,"Check stable IDs, parentage, draft state, links, and projection readiness.",doctor,"{-H: headless mode}|{path: project root or docs root}|{--include-drafts}",1-doctor,lens-preflight:check,lens-map-audit:audit,true,reporting_output_path,lens doctor JSON health report
Lens,lens-map-audit,Audit Governance Map,MA,"Validate topology findings and produce a reviewable map audit report.",audit,"{-H: headless mode}|{path: project root or docs root}|{--html: HTML-capable report}",1-audit,lens-doctor:doctor,lens-projection-rebuild:rebuild,true,reporting_output_path,map audit findings report
Lens,lens-projection-rebuild,Rebuild Projection,PR,"Rebuild derived governance map JSON and Markdown from authored frontmatter.",rebuild,"{-H: headless mode}|{project root or docs root}|{--include-drafts}|{--force}",1-projection,lens-map-audit:audit,lens-ledger-promotion:promote,true,reporting_output_path,derived governance map JSON and Markdown
Lens,lens-ledger-promotion,Promote Ledger Knowledge,LP,"Promote completed published feature knowledge into living service/domain/program ledgers.",promote,"{-H: headless mode}|{feature path or scope}|{--apply: write approved ledger updates}",2-promotion,lens-projection-rebuild:rebuild,lens-salmon-impact:review,false,reporting_output_path,ledger promotion report and optional ledger updates
Lens,lens-salmon-impact,Review Salmon Impact,SI,"Trace upstream and downstream impact signals and classify recursive consistency risk.",review,"{-H: headless mode}|{origin artifact or scope}",3-impact,lens-ledger-promotion:promote,lens-topology-design:design,false,reporting_output_path,Salmon impact report
Lens,lens-topology-design,Design Topology,TD,"Create or update service/domain/program topology decisions from project evidence.",design,"{-H: headless mode}|{project context or scope}|{--apply: write approved ledger scaffolds}",4-topology,lens-salmon-impact:review,lens-reporting-snapshot:snapshot,false,reporting_output_path,topology decision report
Lens,lens-reporting-snapshot,Create Reporting Snapshot,RS,"Produce read-only stakeholder status snapshots and MVP1 UI ingestion JSON.",snapshot,"{-H: headless mode}|{scope}|{--format markdown,json}",5-reporting,lens-topology-design:design,,false,reporting_output_path,Markdown and JSON status snapshot
